person_a_id,person_b_id,relation_type,source_ids,confidence,classification,review_status,review_note
cbdb-person-124850,cbdb-person-124850,243,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-124850,cbdb-person-124850,62,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-126187,cbdb-person-126187,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-129084,cbdb-person-129084,125,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-129084,cbdb-person-129084,126,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-134646,cbdb-person-134646,118,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-135157,cbdb-person-135157,125,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-140746,cbdb-person-140746,243,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-140746,cbdb-person-140746,62,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-141825,cbdb-person-141825,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-143488,cbdb-person-143488,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-143575,cbdb-person-143575,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-144802,cbdb-person-144802,48,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-1460,cbdb-person-1460,243,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-3390,cbdb-person-3390,125,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-339359,cbdb-person-339359,111,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-357408,cbdb-person-357408,118,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-40554,cbdb-person-40554,79,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-41004,cbdb-person-41004,183,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-5369,cbdb-person-5369,111,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-54546,cbdb-person-54546,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-555168,cbdb-person-555168,181,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-555168,cbdb-person-555168,76,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-555582,cbdb-person-555582,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-555582,cbdb-person-555582,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-557305,cbdb-person-557305,304,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-557305,cbdb-person-557305,4,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-557978,cbdb-person-557978,134,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-557978,cbdb-person-557978,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-564307,cbdb-person-564307,182,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-564307,cbdb-person-564307,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-572607,cbdb-person-572607,134,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-572607,cbdb-person-572607,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-577996,cbdb-person-577996,134,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-577996,cbdb-person-577996,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-578172,cbdb-person-578172,0,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-57824,cbdb-person-57824,130,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-57824,cbdb-person-57824,131,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693098,cbdb-person-693098,137,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693098,cbdb-person-693098,159,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693258,cbdb-person-693258,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693258,cbdb-person-693258,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693838,cbdb-person-693838,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-693838,cbdb-person-693838,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694057,cbdb-person-694057,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694057,cbdb-person-694057,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694303,cbdb-person-694303,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694303,cbdb-person-694303,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694449,cbdb-person-694449,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694449,cbdb-person-694449,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694739,cbdb-person-694739,134,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-694739,cbdb-person-694739,135,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-699475,cbdb-person-699475,255,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-699475,cbdb-person-699475,48,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-701059,cbdb-person-701059,180,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-701059,cbdb-person-701059,75,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
cbdb-person-703170,cbdb-person-703170,147,[source-cbdb],1.0,unknown,pending,CBDB KIN_DATA 中确有 person_a_id=person_b_id；仅凭规范化结果无法判定为真实源数据、映射错误或语义特例，保留 pending。
